circuitType,courseLength,turns,driversChampionshipDecider,constructorsChampionshipDecider,laps,circuits_totalRacesHeld,constructors_totalRaceStarts,drivers_totalChampionshipWins,drivers_totalRaceWins,drivers_totalPoints,drivers_totalChampionshipPoints,drivers_totalPolePositions,drivers_totalFastestLaps,engine_manufacturers_totalPolePositions,seasons_constructors_totalRaceStarts,seasons_constructors_totalRaceWins,seasons_constructors_totalPodiumRaces,seasons_constructors_totalPolePositions,seasons_constructors_totalFastestLaps,seasons_drivers_totalRaceStarts,seasons_drivers_totalRaceWins,seasons_drivers_totalPodiums,seasons_drivers_totalPolePositions,seasons_engine_manufacturers_totalRaceStarts,seasons_engine_manufacturers_totalRaceWins,seasons_engine_manufacturers_totalPodiumRaces,seasons_engine_manufacturers_totalPoints,seasons_engine_manufacturers_totalPolePositions,seasons_engine_manufacturers_totalFastestLaps,pole_won_race
RACE,4.649,8,False,False,70,59,214.0,1.0,5,127.33,115,5,5,15,6.0,6.0,6.0,6,6.0,6.0,3.0,3.0,2,6.0,6.0,6.0,89.0,6,6.0,True
STREET,3.18,14,False,False,100,70,214.0,5.0,24,277.64,245,29,23,15,6.0,6.0,6.0,6,6.0,6.0,3.0,3.0,4,6.0,6.0,6.0,89.0,6,6.0,True
RACE,4.023,4,False,False,138,19,12.0,0.0,0,1.0,1,1,0,9,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1,1.0,1.0,1.0,24.0,1,1.0,False
ROAD,7.28,13,False,False,42,5,214.0,5.0,24,277.64,245,29,23,15,6.0,6.0,6.0,6,6.0,6.0,3.0,3.0,4,6.0,6.0,6.0,89.0,6,6.0,False
ROAD,14.12,21,False,False,35,57,214.0,1.0,5,127.33,115,5,5,15,6.0,6.0,6.0,6,6.0,6.0,3.0,3.0,2,6.0,6.0,6.0,89.0,6,6.0,False
ROAD,7.815,5,False,False,64,11,214.0,5.0,24,277.64,245,29,23,15,6.0,6.0,6.0,6,6.0,6.0,3.0,3.0,4,6.0,6.0,6.0,89.0,6,6.0,True
RACE,6.3,5,True,False,80,74,214.0,5.0,24,277.64,245,29,23,15,6.0,6.0,6.0,6,6.0,6.0,3.0,3.0,4,6.0,6.0,6.0,89.0,6,6.0,False
ROAD,7.28,13,False,False,42,5,214.0,5.0,24,277.64,245,29,23,15,7.0,4.0,7.0,4,7.0,7.0,3.0,5.0,4,7.0,4.0,7.0,75.0,4,7.0,True
RACE,4.023,4,False,False,200,19,12.0,0.0,0,0.0,0,1,0,1,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1,0.0,False
ROAD,14.12,21,False,False,36,57,214.0,5.0,24,277.64,245,29,23,15,7.0,4.0,7.0,4,7.0,7.0,3.0,5.0,4,7.0,4.0,7.0,75.0,4,7.0,False
ROAD,7.815,5,False,False,77,11,214.0,5.0,24,277.64,245,29,23,15,7.0,4.0,7.0,4,7.0,7.0,3.0,5.0,4,7.0,4.0,7.0,75.0,4,7.0,False
ROAD,7.815,5,False,False,77,11,214.0,5.0,24,277.64,245,29,23,15,7.0,4.0,7.0,4,7.0,7.0,3.0,5.0,4,7.0,4.0,7.0,75.0,4,7.0,True
RACE,4.649,8,False,False,90,59,1103.0,0.0,2,77.64,72,3,6,255,7.0,3.0,7.0,3,0.0,6.0,1.0,5.0,1,7.0,3.0,7.0,86.0,3,0.0,True
ROAD,22.81,160,False,False,20,41,1103.0,2.0,13,140.14,107,14,13,255,7.0,3.0,7.0,3,0.0,7.0,2.0,4.0,2,7.0,3.0,7.0,86.0,3,0.0,True
RACE,6.3,5,False,False,80,74,214.0,5.0,24,277.64,245,29,23,15,7.0,4.0,7.0,4,7.0,7.0,3.0,5.0,4,7.0,4.0,7.0,75.0,4,7.0,False
STREET,6.316,6,True,False,70,2,1103.0,2.0,13,140.14,107,14,13,255,7.0,3.0,7.0,3,0.0,7.0,2.0,4.0,2,7.0,3.0,7.0,86.0,3,0.0,False
ROAD,7.28,13,False,False,62,5,1103.0,1.0,5,127.33,115,5,5,255,8.0,7.0,7.0,7,7.0,7.0,0.0,4.0,2,8.0,7.0,7.0,120.5,7,7.0,False
RACE,4.023,4,False,False,200,19,12.0,0.0,0,1.5,1,1,0,1,1.0,0.0,1.0,1,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1,0.0,False
ROAD,14.12,21,False,False,36,57,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,7.0,7,7.0,7.0,6.0,6.0,5,8.0,7.0,7.0,120.5,7,7.0,True
ROAD,5.1,10,False,False,77,5,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,7.0,7,7.0,7.0,6.0,6.0,5,8.0,7.0,7.0,120.5,7,7.0,True
RACE,4.711,8,False,False,85,59,1103.0,1.0,5,127.33,115,5,5,255,8.0,7.0,7.0,7,7.0,7.0,0.0,4.0,2,8.0,7.0,7.0,120.5,7,7.0,False
ROAD,22.81,160,True,False,18,41,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,7.0,7,7.0,7.0,6.0,6.0,5,8.0,7.0,7.0,120.5,7,7.0,True
RACE,4.193,19,False,False,90,34,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,7.0,7,7.0,7.0,6.0,6.0,5,8.0,7.0,7.0,120.5,7,7.0,True
RACE,6.3,5,False,False,80,74,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,7.0,7,7.0,7.0,6.0,6.0,5,8.0,7.0,7.0,120.5,7,7.0,True
RACE,3.912,13,False,False,97,20,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,8.0,6,6.0,8.0,5.0,5.0,6,8.0,7.0,8.0,122.5,6,6.0,True
RACE,4.023,4,False,False,200,19,12.0,0.0,2,19.0,19,1,3,9,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,24.0,1,1.0,True
RACE,4.193,19,False,False,90,34,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,8.0,6,6.0,8.0,5.0,5.0,6,8.0,7.0,8.0,122.5,6,6.0,True
ROAD,14.12,21,False,False,36,57,70.0,5.0,24,277.64,245,29,23,11,8.0,1.0,7.0,2,4.0,8.0,1.0,4.0,2,8.0,1.0,7.0,65.5,2,4.0,False
ROAD,8.347,7,False,False,60,11,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,8.0,6,6.0,8.0,5.0,5.0,6,8.0,7.0,8.0,122.5,6,6.0,False
RACE,4.711,8,False,False,90,59,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,8.0,6,6.0,8.0,5.0,5.0,6,8.0,7.0,8.0,122.5,6,6.0,True
ROAD,22.81,160,False,False,18,41,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,8.0,6,6.0,8.0,5.0,5.0,6,8.0,7.0,8.0,122.5,6,6.0,False
ROAD,7.28,13,True,False,65,5,70.0,5.0,24,277.64,245,29,23,11,8.0,1.0,7.0,2,4.0,8.0,1.0,4.0,2,8.0,1.0,7.0,65.5,2,4.0,False
RACE,6.3,5,False,False,80,74,1103.0,2.0,13,140.14,107,14,13,255,8.0,7.0,8.0,6,6.0,8.0,5.0,5.0,6,8.0,7.0,8.0,122.5,6,6.0,False
RACE,3.912,13,False,False,87,20,1103.0,1.0,5,127.33,115,5,5,255,8.0,2.0,8.0,2,4.0,2.0,0.0,1.0,1,8.0,2.0,8.0,80.28,2,4.0,False
RACE,4.023,4,False,False,200,19,12.0,0.0,0,9.0,9,1,1,9,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,24.0,1,1.0,False
ROAD,14.12,21,False,False,36,57,70.0,5.0,24,277.64,245,29,23,11,8.0,2.0,4.0,1,4.0,8.0,6.0,7.0,5,8.0,2.0,4.0,46.42,1,4.0,True
ROAD,8.302,7,False,False,61,11,322.0,5.0,24,277.64,245,29,23,236,6.0,4.0,5.0,4,4.0,8.0,6.0,7.0,5,6.0,4.0,5.0,60.14,4,4.0,True
RACE,4.711,8,False,False,90,59,322.0,5.0,24,277.64,245,29,23,236,6.0,4.0,5.0,4,4.0,8.0,6.0,7.0,5,6.0,4.0,5.0,60.14,4,4.0,False
ROAD,22.81,160,False,False,22,41,322.0,5.0,24,277.64,245,29,23,236,6.0,4.0,5.0,4,4.0,8.0,6.0,7.0,5,6.0,4.0,5.0,60.14,4,4.0,True
ROAD,7.28,13,True,False,66,5,1103.0,0.0,2,77.64,72,3,6,255,8.0,2.0,8.0,2,4.0,7.0,1.0,5.0,1,8.0,2.0,8.0,80.28,2,4.0,False
RACE,6.3,5,False,False,80,74,322.0,5.0,24,277.64,245,29,23,236,6.0,4.0,5.0,4,4.0,8.0,6.0,7.0,5,6.0,4.0,5.0,60.14,4,4.0,True
STREET,6.316,6,False,False,80,2,4.0,2.0,13,140.14,107,14,13,2,1.0,0.0,0.0,1,1.0,4.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1,1.0,False
RACE,3.912,13,False,False,96,20,1103.0,0.0,2,77.64,72,3,6,255,6.0,1.0,4.0,1,0.0,1.0,0.0,1.0,1,6.0,1.0,4.0,33.99,1,0.0,False
STREET,3.145,13,False,False,100,70,322.0,5.0,24,277.64,245,29,23,236,6.0,5.0,5.0,4,5.0,6.0,4.0,5.0,3,6.0,5.0,5.0,79.0,4,5.0,False
RACE,4.023,4,False,False,200,19,6.0,0.0,0,0.0,0,1,0,9,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1,1.0,1.0,1.0,24.0,1,1.0,False
ROAD,14.12,21,False,False,36,57,4.0,0.0,0,19.5,19,1,0,2,3.0,0.0,1.0,1,0.0,6.0,0.0,2.0,1,3.0,0.0,1.0,8.0,1,0.0,False
RACE,4.193,19,False,False,100,34,322.0,5.0,24,277.64,245,29,23,236,6.0,5.0,5.0,4,5.0,6.0,4.0,5.0,3,6.0,5.0,5.0,79.0,4,5.0,True
ROAD,4.828,8,True,False,90,5,322.0,0.0,16,186.64,185,16,19,236,6.0,5.0,5.0,4,5.0,6.0,1.0,3.0,1,6.0,5.0,5.0,79.0,4,5.0,True
RACE,10.0,7,False,False,50,74,322.0,5.0,24,277.64,245,29,23,236,6.0,5.0,5.0,4,5.0,6.0,4.0,5.0,3,6.0,5.0,5.0,79.0,4,5.0,True
RACE,3.912,13,False,False,98,20,1103.0,5.0,24,277.64,245,29,23,255,7.0,5.0,7.0,6,4.0,7.0,3.0,5.0,6,7.0,5.0,7.0,80.5,6,4.0,False
RACE,3.912,13,False,False,98,20,1103.0,5.0,24,277.64,245,29,23,255,7.0,5.0,7.0,6,4.0,7.0,3.0,5.0,6,7.0,5.0,7.0,80.5,6,4.0,True
STREET,3.145,13,False,False,100,70,1103.0,5.0,24,277.64,245,29,23,255,7.0,5.0,7.0,6,4.0,7.0,3.0,5.0,6,7.0,5.0,7.0,80.5,6,4.0,False
RACE,4.023,4,False,False,200,19,9.0,0.0,1,8.0,8,1,0,9,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,23.0,1,0.0,True
ROAD,14.12,21,False,False,36,57,1103.0,5.0,24,277.64,245,29,23,255,7.0,5.0,7.0,6,4.0,7.0,3.0,5.0,6,7.0,5.0,7.0,80.5,6,4.0,False
ROAD,8.302,7,False,False,61,11,1103.0,5.0,24,277.64,245,29,23,255,7.0,5.0,7.0,6,4.0,7.0,3.0,5.0,6,7.0,5.0,7.0,80.5,6,4.0,False
RACE,4.711,8,False,False,101,59,70.0,0.0,16,186.64,185,16,19,11,7.0,2.0,7.0,1,3.0,7.0,2.0,4.0,1,7.0,2.0,7.0,72.0,1,3.0,False
ROAD,22.81,160,False,False,22,41,1103.0,5.0,24,277.64,245,29,23,255,7.0,5.0,7.0,6,4.0,7.0,3.0,5.0,6,7.0,5.0,7.0,80.5,6,4.0,True
RACE,10.0,7,True,False,50,74,1103.0,5.0,24,277.64,245,29,23,255,7.0,5.0,7.0,6,4.0,7.0,3.0,5.0,6,7.0,5.0,7.0,80.5,6,4.0,False
RACE,3.912,13,False,False,100,20,70.0,0.0,16,186.64,185,16,19,11,7.0,4.0,6.0,5,3.0,6.0,3.0,3.0,2,7.0,4.0,6.0,78.0,5,3.0,False
